               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.050042,            0.069425,            0.026019,             0.61189,             0.48827,             0.57928,             0.41259,            0.044662,            0.049736,            0.018455,            0.006436,            0.006436,            0.006436
                 110,            0.050084,            0.068957,            0.026043,             0.61635,             0.48661,             0.57984,             0.41287,            0.044634,            0.049716,            0.018431,            0.006403,            0.006403,            0.006403
                 111,            0.049974,            0.069341,            0.025899,             0.61764,             0.48535,             0.57899,             0.41291,            0.044624,            0.049698,            0.018407,             0.00637,             0.00637,             0.00637
                 112,            0.049939,            0.069122,            0.025889,             0.61278,             0.48882,             0.57978,             0.41345,            0.044605,            0.049678,            0.018379,            0.006337,            0.006337,            0.006337
                 113,            0.049937,               0.069,            0.025856,             0.61216,             0.48882,             0.57967,             0.41294,            0.044584,            0.049662,            0.018339,            0.006304,            0.006304,            0.006304
                 114,            0.049911,            0.069314,            0.025733,             0.61214,             0.48684,             0.57893,             0.41279,            0.044575,            0.049647,            0.018312,            0.006271,            0.006271,            0.006271
                 115,            0.049922,            0.069145,            0.025714,             0.60783,             0.48978,             0.57925,             0.41304,             0.04457,            0.049628,            0.018303,            0.006238,            0.006238,            0.006238
                 116,            0.049899,            0.069191,            0.025608,             0.61293,             0.48944,             0.58029,             0.41286,            0.044559,            0.049614,            0.018281,            0.006205,            0.006205,            0.006205
                 117,            0.049853,            0.069016,            0.025675,             0.61303,             0.48986,             0.58034,              0.4132,            0.044541,            0.049599,            0.018246,            0.006172,            0.006172,            0.006172
                 118,             0.04981,               0.069,            0.025551,             0.61961,             0.48768,              0.5808,             0.41359,            0.044524,            0.049585,             0.01823,            0.006139,            0.006139,            0.006139
                 119,            0.049787,            0.068965,            0.025606,             0.61424,             0.49158,             0.58147,             0.41395,            0.044511,            0.049566,            0.018204,            0.006106,            0.006106,            0.006106
                 120,            0.049757,            0.069101,            0.025575,             0.61315,             0.49254,             0.58142,             0.41474,            0.044496,            0.049566,            0.018177,            0.006073,            0.006073,            0.006073
                 121,            0.049763,            0.068957,            0.025487,             0.62184,             0.48703,             0.58104,              0.4147,            0.044482,            0.049568,            0.018164,             0.00604,             0.00604,             0.00604
                 122,             0.04974,            0.069115,            0.025431,             0.61057,             0.49335,             0.58158,             0.41536,            0.044466,            0.049558,            0.018141,            0.006007,            0.006007,            0.006007
                 123,            0.049632,            0.069065,            0.025449,             0.61103,             0.49448,             0.58222,             0.41592,            0.044449,             0.04954,            0.018112,            0.005974,            0.005974,            0.005974
                 124,            0.049643,            0.068897,            0.025511,             0.61586,             0.49134,             0.58222,             0.41643,            0.044437,            0.049531,            0.018091,            0.005941,            0.005941,            0.005941
                 125,            0.049645,            0.068922,            0.025364,             0.61298,             0.49443,             0.58296,             0.41658,            0.044423,            0.049521,            0.018068,            0.005908,            0.005908,            0.005908
                 126,            0.049615,            0.068708,            0.025327,             0.61363,             0.49375,             0.58315,             0.41668,            0.044404,            0.049498,            0.018065,            0.005875,            0.005875,            0.005875
                 127,            0.049595,            0.069056,             0.02533,             0.61244,             0.49537,             0.58368,             0.41667,            0.044383,            0.049472,            0.018054,            0.005842,            0.005842,            0.005842
                 128,            0.049533,            0.069072,            0.025276,             0.62619,             0.48812,             0.58365,             0.41667,            0.044361,            0.049458,            0.018043,            0.005809,            0.005809,            0.005809
                 129,            0.049518,            0.068785,            0.025238,              0.6116,             0.49703,              0.5849,             0.41756,            0.044338,            0.049442,            0.018028,            0.005776,            0.005776,            0.005776
                 130,            0.049479,            0.068775,            0.025231,             0.61507,             0.49485,             0.58458,             0.41817,             0.04432,            0.049424,            0.018001,            0.005743,            0.005743,            0.005743
                 131,            0.049508,            0.068691,            0.025128,             0.62352,             0.49186,             0.58522,             0.41909,            0.044299,            0.049424,            0.017971,             0.00571,             0.00571,             0.00571
                 132,            0.049466,            0.068853,             0.02513,             0.62468,             0.49125,             0.58519,             0.41861,            0.044279,            0.049414,            0.017961,            0.005677,            0.005677,            0.005677
                 133,            0.049399,            0.068492,            0.025122,             0.61525,             0.49507,             0.58496,             0.41905,            0.044262,            0.049396,            0.017945,            0.005644,            0.005644,            0.005644
                 134,            0.049363,            0.068501,            0.025118,             0.61103,             0.49685,             0.58496,             0.41862,            0.044245,            0.049386,            0.017943,            0.005611,            0.005611,            0.005611
                 135,            0.049379,            0.068381,            0.025083,             0.62912,             0.48987,             0.58585,             0.41904,            0.044231,            0.049379,            0.017934,            0.005578,            0.005578,            0.005578
                 136,            0.049342,            0.068592,            0.024996,             0.63365,             0.48716,             0.58518,             0.41885,             0.04422,            0.049373,            0.017921,            0.005545,            0.005545,            0.005545
                 137,            0.049364,            0.068741,            0.024962,             0.63414,             0.48684,             0.58501,             0.41879,            0.044213,            0.049375,            0.017926,            0.005512,            0.005512,            0.005512
                 138,            0.049311,            0.068756,            0.024953,             0.63465,             0.48668,             0.58552,             0.41912,            0.044203,            0.049369,            0.017906,            0.005479,            0.005479,            0.005479
                 139,            0.049314,            0.068581,            0.024845,             0.62051,             0.49298,              0.5848,             0.41875,            0.044192,            0.049348,            0.017913,            0.005446,            0.005446,            0.005446
                 140,             0.04925,            0.068662,            0.024845,             0.63116,             0.48729,             0.58504,             0.41888,            0.044188,            0.049332,            0.017906,            0.005413,            0.005413,            0.005413
                 141,            0.049257,            0.068746,            0.024815,             0.60771,             0.50141,             0.58669,             0.41958,            0.044179,            0.049318,            0.017891,             0.00538,             0.00538,             0.00538
                 142,             0.04922,            0.068564,            0.024774,             0.61666,             0.49707,             0.58624,             0.41967,             0.04418,            0.049298,            0.017876,            0.005347,            0.005347,            0.005347
                 143,            0.049201,            0.068699,            0.024742,             0.61333,              0.5009,             0.58741,             0.42024,            0.044169,            0.049288,            0.017849,            0.005314,            0.005314,            0.005314
                 144,            0.049148,            0.068475,            0.024669,             0.62379,             0.49436,             0.58738,             0.42028,            0.044152,            0.049275,            0.017829,            0.005281,            0.005281,            0.005281
                 145,            0.049155,            0.068231,            0.024621,             0.63212,             0.48982,              0.5869,             0.42041,             0.04414,            0.049257,            0.017818,            0.005248,            0.005248,            0.005248
                 146,            0.049105,            0.068506,            0.024685,             0.62763,             0.49109,             0.58671,             0.42085,            0.044123,            0.049249,            0.017801,            0.005215,            0.005215,            0.005215
